Frequency (MHz);Power (dBm)
1,97E+02;-54,9484
1,97E+02;-54,9699
1,98E+02;-55,1957
1,98E+02;-54,9911
1,99E+02;-54,9021
2,00E+02;-55,0848
2,00E+02;-54,983
2,01E+02;-55,0187
2,01E+02;-54,8756
2,02E+02;-54,7834
2,03E+02;-54,7309
2,03E+02;-55,0889
2,04E+02;-55,017
2,04E+02;-54,929
2,05E+02;-54,8567
2,06E+02;-54,3747
2,06E+02;-54,3896
2,07E+02;-54,8517
2,08E+02;-54,7822
2,08E+02;-54,9309
2,09E+02;-54,742
2,09E+02;-54,5501
2,10E+02;-54,3114
2,11E+02;-54,3621
2,11E+02;-54,1203
2,12E+02;-53,9135
2,12E+02;-53,9656
2,13E+02;-54,1956
2,14E+02;-54,3623
2,14E+02;-54,522
2,15E+02;-54,8755
2,15E+02;-54,4493
2,16E+02;-54,1215
2,17E+02;-53,9075
2,17E+02;-53,7563
2,18E+02;-53,9144
2,19E+02;-54,1857
2,19E+02;-54,1247
2,20E+02;-53,9314
2,20E+02;-53,6145
2,21E+02;-54,0597
2,22E+02;-54,5686
2,22E+02;-54,2235
2,23E+02;-54,2242
2,23E+02;-54,1586
2,24E+02;-53,9249
2,25E+02;-53,7362
2,25E+02;-53,6743
2,26E+02;-53,6652
2,26E+02;-53,8004
2,27E+02;-53,762
2,28E+02;-53,7599
2,28E+02;-53,7591
2,29E+02;-53,7347
2,29E+02;-54,0765
2,30E+02;-54,0436
2,31E+02;-53,6361
2,31E+02;-53,4772
2,32E+02;-53,4374
2,33E+02;-53,2092
2,33E+02;-53,3559
2,34E+02;-53,6393
2,34E+02;-53,8485
2,35E+02;-53,4549
2,36E+02;-53,4366
2,36E+02;-53,3817
2,37E+02;-53,4659
2,37E+02;-53,1712
2,38E+02;-53,4612
2,39E+02;-53,4109
2,39E+02;-53,2831
2,40E+02;-53,1685
2,40E+02;-53,3289
2,41E+02;-53,3513
2,42E+02;-53,1945
2,42E+02;-52,9532
2,43E+02;-53,0813
2,44E+02;-53,0485
2,44E+02;-53,0882
2,45E+02;-53,173
2,45E+02;-53,0998
2,46E+02;-52,9451
2,47E+02;-52,6761
2,47E+02;-53,0329
2,48E+02;-53,1377
2,48E+02;-53,0628
2,49E+02;-52,8002
2,50E+02;-52,3772
2,50E+02;-52,4142
2,51E+02;-52,7643
2,51E+02;-52,8722
2,52E+02;-53,0265
2,53E+02;-52,7382
2,53E+02;-52,511
2,54E+02;-52,642
2,55E+02;-52,8172
2,55E+02;-52,5645
2,56E+02;-52,4484
2,56E+02;-52,275
2,57E+02;-52,262
2,58E+02;-52,4435
2,58E+02;-52,4085
2,59E+02;-52,2624
2,59E+02;-52,3261
2,60E+02;-52,2978
2,61E+02;-52,076
2,61E+02;-52,2469
2,62E+02;-52,3557
2,62E+02;-52,105
2,63E+02;-51,9029
2,64E+02;-52,1474
2,64E+02;-52,2267
2,65E+02;-52,1186
2,66E+02;-51,6674
2,66E+02;-51,8106
2,67E+02;-51,8411
2,67E+02;-51,8471
2,68E+02;-51,6392
2,69E+02;-51,5991
2,69E+02;-52,0502
2,70E+02;-52,1701
2,70E+02;-52,0538
2,71E+02;-51,9636
2,72E+02;-51,8441
2,72E+02;-51,7148
2,73E+02;-51,6892
2,73E+02;-51,8011
2,74E+02;-51,9014
2,75E+02;-51,9301
2,75E+02;-51,752
2,76E+02;-51,6487
2,76E+02;-51,3867
2,77E+02;-51,6945
2,78E+02;-51,5818
2,78E+02;-51,2829
2,79E+02;-51,2239
2,80E+02;-51,2886
2,80E+02;-51,3582
2,81E+02;-51,6344
2,81E+02;-51,3936
2,82E+02;-51,2053
2,83E+02;-51,2699
2,83E+02;-51,073
2,84E+02;-51,0378
2,84E+02;-51,4279
2,85E+02;-51,3363
2,86E+02;-51,3073
2,86E+02;-50,9263
2,87E+02;-50,8181
2,87E+02;-50,8996
2,88E+02;-50,9095
2,89E+02;-51,0032
2,89E+02;-51,0307
2,90E+02;-50,7688
2,91E+02;-50,812
2,91E+02;-50,7471
2,92E+02;-50,744
2,92E+02;-50,8747
2,93E+02;-50,7483
2,94E+02;-50,8785
2,94E+02;-50,7321
2,95E+02;-50,8236
2,95E+02;-50,8429
2,96E+02;-50,8299
2,97E+02;-50,9273
2,97E+02;-50,7113
2,98E+02;-50,8849
2,98E+02;-50,6768
2,99E+02;-50,7163
3,00E+02;-50,6456
3,00E+02;-50,869
3,01E+02;-51,1326
3,02E+02;-50,9369
3,02E+02;-50,7008
3,03E+02;-50,5373
3,03E+02;-50,7861
3,04E+02;-50,7607
3,05E+02;-50,4519
3,05E+02;-50,5987
3,06E+02;-50,8023
3,06E+02;-50,7682
3,07E+02;-50,6264
3,08E+02;-50,4888
3,08E+02;-50,6275
3,09E+02;-50,6571
3,09E+02;-50,6856
3,10E+02;-51,1293
3,11E+02;-51,2066
3,11E+02;-50,5679
3,12E+02;-50,6237
3,13E+02;-50,6586
3,13E+02;-50,4659
3,14E+02;-50,6972
3,14E+02;-50,6576
3,15E+02;-50,5797
3,16E+02;-50,6021
3,16E+02;-50,665
3,17E+02;-50,7426
3,17E+02;-50,7786
3,18E+02;-50,5297
3,19E+02;-50,6878
3,19E+02;-50,5558
3,20E+02;-51,1149
3,20E+02;-51,1034
3,21E+02;-50,9341
3,22E+02;-50,9725
3,22E+02;-50,8254
3,23E+02;-50,5708
3,23E+02;-50,6138
3,24E+02;-50,2748
3,25E+02;-50,5353
3,25E+02;-50,6332
3,26E+02;-50,5257
3,27E+02;-50,5911
3,27E+02;-50,5536
3,28E+02;-50,483
3,28E+02;-50,3964
3,29E+02;-50,6788
3,30E+02;-50,6863
3,30E+02;-50,8871
3,31E+02;-50,8655
3,31E+02;-50,7421
3,32E+02;-50,7948
3,33E+02;-50,7731
3,33E+02;-51,0999
3,34E+02;-50,8393
3,34E+02;-50,6217
3,35E+02;-50,7247
3,36E+02;-50,5956
3,36E+02;-50,3185
3,37E+02;-50,3763
3,38E+02;-50,9436
3,38E+02;-50,9296
3,39E+02;-51,0055
3,39E+02;-50,8529
3,40E+02;-50,8298
3,41E+02;-50,6905
3,41E+02;-50,6092
3,42E+02;-50,8963
3,42E+02;-51,0054
3,43E+02;-50,9631
3,44E+02;-50,8859
3,44E+02;-51,2854
3,45E+02;-51,185
3,45E+02;-50,9692
3,46E+02;-50,9012
3,47E+02;-51,0845
3,47E+02;-51,0351
3,48E+02;-50,9314
3,49E+02;-50,8081
3,49E+02;-51,0438
3,50E+02;-51,1141
3,50E+02;-51,3488
3,51E+02;-51,3516
3,52E+02;-51,3312
3,52E+02;-51,2535
3,53E+02;-51,3356
3,53E+02;-50,7965
3,54E+02;-50,9229
3,55E+02;-51,3597
3,55E+02;-51,3606
3,56E+02;-51,1629
3,56E+02;-51,3584
3,57E+02;-51,3093
3,58E+02;-51,2501
3,58E+02;-51,3812
3,59E+02;-51,2313
3,59E+02;-51,163
3,60E+02;-51,0943
3,61E+02;-51,0473
3,61E+02;-51,3375
3,62E+02;-51,1705
3,63E+02;-51,3928
3,63E+02;-51,426
3,64E+02;-51,2447
3,64E+02;-51,2222
3,65E+02;-51,3834
3,66E+02;-51,1652
3,66E+02;-51,3554
3,67E+02;-51,4923
3,67E+02;-51,1687
3,68E+02;-51,3016
3,69E+02;-51,5692
3,69E+02;-51,2406
3,70E+02;-51,2955
3,70E+02;-51,3691
3,71E+02;-51,635
3,72E+02;-51,5808
3,72E+02;-51,3474
3,73E+02;-51,4875
3,74E+02;-51,5012
3,74E+02;-51,5541
3,75E+02;-51,4256
3,75E+02;-51,3426
3,76E+02;-51,3583
3,77E+02;-51,2565
3,77E+02;-51,7058
3,78E+02;-51,7547
3,78E+02;-51,767
3,79E+02;-51,9536
3,80E+02;-51,8813
3,80E+02;-51,8172
3,81E+02;-51,9009
3,81E+02;-51,8049
3,82E+02;-51,9023
3,83E+02;-51,6524
3,83E+02;-51,7059
3,84E+02;-51,937
3,85E+02;-51,9499
3,85E+02;-52,0056
3,86E+02;-52,0966
3,86E+02;-52,2335
3,87E+02;-52,0749
3,88E+02;-52,0018
3,88E+02;-52,1092
3,89E+02;-51,8791
3,89E+02;-51,8455
3,90E+02;-51,7454
3,91E+02;-52,2431
3,91E+02;-52,6885
3,92E+02;-52,4476
3,92E+02;-52,1569
3,93E+02;-52,0822
3,94E+02;-52,1401
3,94E+02;-52,3141
3,95E+02;-52,3286
3,96E+02;-52,5692
3,96E+02;-52,3073
3,97E+02;-52,4466
3,97E+02;-52,3466
3,98E+02;-52,242
3,99E+02;-52,4886
3,99E+02;-52,7106
4,00E+02;-52,3321
4,00E+02;-52,4085
4,01E+02;-52,7406
4,02E+02;-52,7029
4,02E+02;-52,6213
4,03E+02;-52,4902
4,03E+02;-52,8781
4,04E+02;-52,7334
4,05E+02;-52,7267
4,05E+02;-52,7786
4,06E+02;-53,0533
4,06E+02;-52,8936
4,07E+02;-52,946
4,08E+02;-53,019
4,08E+02;-53,1774
4,09E+02;-53,197
4,10E+02;-52,9466
4,10E+02;-52,9461
4,11E+02;-52,8822
4,11E+02;-52,906
4,12E+02;-52,9694
4,13E+02;-53,3681
4,13E+02;-53,1682
4,14E+02;-53,3683
4,14E+02;-53,5032
4,15E+02;-53,4649
4,16E+02;-53,2274
4,16E+02;-53,4157
4,17E+02;-53,5764
4,17E+02;-53,6139
4,18E+02;-53,3565
4,19E+02;-53,1723
4,19E+02;-53,4392
4,20E+02;-54,0138
4,21E+02;-54,127
4,21E+02;-54,1054
4,22E+02;-54,0913
4,22E+02;-53,7465
4,23E+02;-53,5437
4,24E+02;-53,9006
4,24E+02;-54,0747
4,25E+02;-54,028
4,25E+02;-54,2008
4,26E+02;-54,3055
4,27E+02;-54,2372
4,27E+02;-54,2829
4,28E+02;-54,1754
4,28E+02;-54,2752
4,29E+02;-54,209
4,30E+02;-54,1619
4,30E+02;-54,4704
4,31E+02;-54,583
4,32E+02;-54,5724
4,32E+02;-54,4789
4,33E+02;-54,2252
4,33E+02;-54,6019
4,34E+02;-54,6594
4,35E+02;-54,5457
4,35E+02;-54,514
4,36E+02;-54,7181
4,36E+02;-54,7842
4,37E+02;-54,8951
4,38E+02;-54,9456
